Date,P,Blue,Red,Winner,Len,BG,BK,BT,BD,RG,RK,RT,RD
2022-01-22 ,12.1,LOUD,FURIA Esports,LOUD,38:40,71210,19,9,3,64612,17,3,2
2022-01-22 ,12.1,Netshoes Miners,Flamengo Esports,Netshoes Miners,35:52,72544,21,10,3,59163,7,2,1
2022-01-22 ,12.1,INTZ,KaBuM! e-Sports,INTZ,30:23,59700,30,8,4,53200,15,4,1
2022-01-22 ,12.1,Rensga Esports,RED Canids,RED Canids,38:56,71641,14,6,2,71408,17,8,4
2022-01-23 ,12.1,Rensga Esports,Liberty,Rensga Esports,25:15,51700,17,9,2,41800,11,1,2
2022-01-23 ,12.1,RED Canids,LOUD,RED Canids,39:11,71939,20,7,2,65014,13,6,3
2022-01-23 ,12.1,INTZ,Netshoes Miners,Netshoes Miners,45:48,81381,15,11,2,82072,21,9,4
2022-01-23 ,12.1,Flamengo Esports,FURIA Esports,FURIA Esports,33:41,57061,11,3,2,63007,20,8,3
2022-01-27 ,12.1,paiN Gaming,Liberty,paiN Gaming,25:40,53600,20,11,3,39000,5,2,0
2022-01-27 ,12.1,paiN Gaming,KaBuM! e-Sports,KaBuM! e-Sports,31:29,50724,8,3,0,60342,22,7,5
2022-01-29 ,12.2,RED Canids,Liberty,Liberty,37:21,62522,13,3,2,69306,19,9,3
2022-01-29 ,12.2,Netshoes Miners,paiN Gaming,Netshoes Miners,33:01,61338,15,9,1,56679,8,5,3
2022-01-29 ,12.2,KaBuM! e-Sports,Rensga Esports,KaBuM! e-Sports,29:48,60400,22,11,2,46800,6,1,2
2022-01-29 ,12.2,FURIA Esports,INTZ,FURIA Esports,26:23,52100,14,10,2,39800,2,1,0
2022-01-29 ,12.2,LOUD,Flamengo Esports,LOUD,32:19,58224,13,10,4,55068,14,3,0
2022-01-30 ,12.2,RED Canids,KaBuM! e-Sports,RED Canids,27:32,56600,21,11,2,45900,11,3,2
2022-01-30 ,12.2,Liberty,LOUD,Liberty,35:20,70134,26,11,3,56635,10,3,2
2022-01-30 ,12.2,Rensga Esports,Netshoes Miners,Rensga Esports,36:07,63076,18,7,3,62041,9,6,2
2022-01-30 ,12.2,paiN Gaming,FURIA Esports,FURIA Esports,32:01,51947,9,3,1,59046,15,9,4
2022-01-30 ,12.2,INTZ,Flamengo Esports,INTZ,32:37,60305,13,9,2,51128,2,3,2
2022-02-05 ,12.2,Netshoes Miners,RED Canids,RED Canids,30:10,47000,8,3,1,59300,18,10,3
2022-02-05 ,12.2,LOUD,INTZ,LOUD,25:38,51400,10,11,3,38700,2,2,0
2022-02-05 ,12.2,KaBuM! e-Sports,Liberty,KaBuM! e-Sports,28:00,57400,25,9,1,44900,9,1,2
2022-02-05 ,12.2,Flamengo Esports,paiN Gaming,paiN Gaming,36:36,54723,6,2,1,67394,14,9,5
2022-02-06 ,12.2,KaBuM! e-Sports,LOUD,KaBuM! e-Sports,25:49,53200,24,9,1,43800,9,3,2
2022-02-06 ,12.2,RED Canids,FURIA Esports,FURIA Esports,27:09,43900,4,3,0,52100,11,10,4
2022-02-06 ,12.2,paiN Gaming,INTZ,INTZ,31:15,50600,4,4,0,59700,16,10,4
2022-02-06 ,12.2,Liberty,Netshoes Miners,Liberty,31:23,58400,17,10,3,44600,3,0,1
2022-02-10 ,12.2,FURIA Esports,Rensga Esports,FURIA Esports,30:22,61900,24,11,4,50300,14,2,0
2022-02-10 ,12.2,Rensga Esports,Flamengo Esports,Flamengo Esports,40:20,61571,10,4,4,69818,20,7,2
2022-02-12 ,12.3,INTZ,Rensga Esports,Rensga Esports,26:57,42200,7,2,0,54400,17,9,3
2022-02-12 ,12.3,Flamengo Esports,RED Canids,Flamengo Esports,39:16,70121,19,11,4,65483,10,7,2
2022-02-12 ,12.3,FURIA Esports,Liberty,FURIA Esports,35:37,62726,14,10,3,59152,12,6,2
2022-02-12 ,12.3,LOUD,paiN Gaming,LOUD,33:16,63552,16,11,3,53651,6,3,2
2022-02-12 ,12.3,Netshoes Miners,KaBuM! e-Sports,KaBuM! e-Sports,28:24,48100,10,4,2,57900,19,9,3
2022-02-13 ,12.3,Liberty,Flamengo Esports,Liberty,34:54,67523,21,11,4,61197,13,3,1
2022-02-13 ,12.3,KaBuM! e-Sports,FURIA Esports,FURIA Esports,30:42,54400,7,7,0,60800,15,11,4
2022-02-13 ,12.3,Netshoes Miners,LOUD,LOUD,38:07,72472,15,6,1,73191,18,10,5
2022-02-13 ,12.3,RED Canids,INTZ,RED Canids,22:27,49600,30,10,2,38200,8,3,0
2022-02-13 ,12.3,Rensga Esports,paiN Gaming,paiN Gaming,30:36,47400,5,2,0,60600,14,11,4
2022-02-19 ,12.3,FURIA Esports,Netshoes Miners,Netshoes Miners,40:58,75245,16,9,3,75412,22,8,3
2022-02-19 ,12.3,paiN Gaming,RED Canids,RED Canids,31:00,50200,8,2,2,63400,21,10,3
2022-02-19 ,12.3,Flamengo Esports,KaBuM! e-Sports,KaBuM! e-Sports,29:26,47200,4,3,1,57200,16,10,3
2022-02-19,12.3,LOUD,Rensga Esports,LOUD,31:43,60766,20,11,2,51985,8,4,3
2022-02-19 ,12.3,INTZ,Liberty,Liberty,30:20,50000,6,2,1,59100,17,11,3
2022-02-20 ,12.3,RED Canids,Rensga Esports,RED Canids,24:09,47400,15,7,2,41200,7,4,1
2022-02-20 ,12.3,INTZ,KaBuM! e-Sports,INTZ,30:22,59600,30,8,4,53200,15,4,1
2022-02-20 ,12.3,Liberty,paiN Gaming,Liberty,35:39,66782,16,11,3,63536,13,5,2
2022-02-20 ,12.3,Flamengo Esports,Netshoes Miners,Netshoes Miners,31:51,50421,6,3,1,58230,13,9,3
2022-02-20 ,12.3,FURIA Esports,LOUD,LOUD,29:53,46000,2,3,0,60000,16,11,4
2022-02-26 ,12.4,FURIA Esports,Flamengo Esports,FURIA Esports,31:24,61500,19,10,2,49200,7,1,2
2022-02-26 ,12.4,LOUD,RED Canids,RED Canids,38:58,67312,13,6,1,75772,25,10,5
2022-02-26 ,12.5,Rensga Esports,Liberty,Rensga Esports,25:14,51700,17,9,2,41800,11,1,2
2022-02-26 ,12.6,KaBuM! e-Sports,paiN Gaming,paiN Gaming,28:03,44300,6,2,2,57900,19,10,2
2022-02-26 ,12.4,Netshoes Miners,INTZ,Netshoes Miners,31:29,57743,15,9,2,50592,13,3,2
2022-02-27 ,12.4,Flamengo Esports,LOUD,Flamengo Esports,35:56,66215,14,10,4,58860,9,6,1
2022-02-27 ,12.5,INTZ,FURIA Esports,FURIA Esports,29:05,53300,17,5,1,58000,16,10,3
2022-02-27 ,12.6,paiN Gaming,Netshoes Miners,paiN Gaming,23:23,47700,23,8,4,34900,5,1,0
2022-02-27 ,12.4,Liberty,RED Canids,RED Canids,36:55,60314,12,6,3,66211,16,10,3
2022-02-27 ,12.4,Rensga Esports,KaBuM! e-Sports,KaBuM! e-Sports,32:52,61315,20,4,1,60308,16,8,4
2022-03-05 ,12.4,FURIA Esports,paiN Gaming,FURIA Esports,37:52,72640,21,8,5,68902,16,9,1
2022-03-05 ,12.4,LOUD,Liberty,LOUD,41:33,74836,21,7,5,65130,11,5,0
2022-03-05 ,12.4,Flamengo Esports,INTZ,Flamengo Esports,32:32,61872,14,9,3,55885,8,5,2
2022-03-05 ,12.4,Netshoes Miners,Rensga Esports,Netshoes Miners,26:34,57600,27,9,4,44000,14,1,0
2022-03-06 ,12.4,INTZ,LOUD,LOUD,24:09,36900,5,1,0,52500,18,11,2
2022-03-06 ,12.4,paiN Gaming,Flamengo Esports,paiN Gaming,35:06,69207,19,10,3,58894,12,3,2
2022-03-06 ,12.4,RED Canids,Netshoes Miners,RED Canids,32:31,66958,22,10,1,56402,14,3,3
2022-03-06 ,12.4,Liberty,KaBuM! e-Sports,KaBuM! e-Sports,32:00,51427,9,5,1,65180,23,10,4
2022-03-06 ,12.4,Rensga Esports,FURIA Esports,Rensga Esports,37:11,71442,32,10,1,66044,17,7,4
2022-03-10 ,12.4,KaBuM! e-Sports,RED Canids,KaBuM! e-Sports,33:12,65369,21,10,4,55437,13,3,1
2022-03-12 ,12.5,Netshoes Miners,Liberty,Netshoes Miners,36:44,68838,23,9,2,60510,14,4,3
2022-03-12 ,12.5,Flamengo Esports,Rensga Esports,Rensga Esports,45:12,77803,15,6,2,86260,22,9,4
2022-03-12 ,12.5,LOUD,KaBuM! e-Sports,KaBuM! e-Sports,46:13,77593,14,5,3,83433,20,9,4
2022-03-12 ,12.5,FURIA Esports,RED Canids,FURIA Esports,38:20,71269,13,10,3,64316,5,5,2
2022-03-12 ,12.5,INTZ,paiN Gaming,paiN Gaming,26:53,42700,4,4,1,53700,16,8,2
2022-03-13 ,12.5,KaBuM! e-Sports,Netshoes Miners,Netshoes Miners,36:34,68672,31,6,3,70355,31,8,2
2022-03-13 ,12.5,Rensga Esports,INTZ,Rensga Esports,31:39,55094,12,7,2,49284,14,2,3
2022-03-13 ,12.5,RED Canids,Flamengo Esports,RED Canids,25:17,44900,7,4,1,50600,19,8,3
2022-03-13 ,12.5,paiN Gaming,LOUD,paiN Gaming,38:54,74233,22,8,1,66206,17,5,4
2022-03-13 ,12.5,Liberty,FURIA Esports,Liberty,39:14,69676,14,11,5,66830,5,7,1
2022-03-19 ,12.5,paiN Gaming,Rensga Esports,paiN Gaming,30:58,60600,17,9,3,52600,9,3,2
2022-03-19 ,12.5,FURIA Esports,KaBuM! e-Sports,KaBuM! e-Sports,29:39,46300,3,3,0,55800,16,8,4
2022-03-19 ,12.5,Flamengo Esports,Liberty,Liberty,27:29,42000,4,3,0,53600,15,8,3
2022-03-19 ,12.5,INTZ,RED Canids,RED Canids,40:57,66920,15,4,2,70163,14,9,3
2022-03-19 ,12.5,LOUD,Netshoes Miners,Netshoes Miners,31:39,51736,6,3,0,61992,21,9,5
2022-03-20 ,12.5,Liberty,INTZ,Liberty,25:11,49400,17,10,1,39700,7,2,1
2022-03-20 ,12.5,Rensga Esports,LOUD,LOUD,40:08,71997,24,5,3,78395,30,10,3
2022-03-20 ,12.5,Netshoes Miners,FURIA Esports,FURIA Esports,33:19,57639,20,4,1,67133,31,9,3
2022-03-20 ,12.5,KaBuM! e-Sports,Flamengo Esports,KaBuM! e-Sports,31:05:00,64200,20,11,4,52900,12,2,1
2022-03-20 ,12.5,RED Canids,paiN Gaming,paiN Gaming,30:32:00,47700,8,2,2,61400,21,9,3
